OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,NOHS_CY,SOMEHS_CY,HSGRAD_CY,GED_CY,SMCOLL_CY,ASSCDEG_CY,BACHDEG_CY,GRADDEG_CY,EDUCBASECY
1,A Mountain,1,NEIGHBORHOODS,0,US,1,BlockApportionment:US.BlockGroups,2.191,2.576,1,382,291,323,187,498,131,88,13,1913
2,Adelanto,3,NEIGHBORHOODS,1,US,2,BlockApportionment:US.BlockGroups,2.191,2.576,1,54,34,55,17,9,10,10,11,200
3,Alvernon Heights,5,NEIGHBORHOODS,2,US,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,3,21,34,17,69,12,26,7,189
4,Amphi,3,NEIGHBORHOODS,3,US,4,BlockApportionment:US.BlockGroups,2.191,2.576,1,405,697,954,232,1260,395,432,213,4588
5,Armory Park,6,NEIGHBORHOODS,4,US,5,BlockApportionment:US.BlockGroups,2.191,2.576,1,65,70,138,73,287,71,404,449,1557
6,Arroyo Chico,5,NEIGHBORHOODS,5,US,6,BlockApportionment:US.BlockGroups,2.191,2.576,1,170,342,319,123,498,78,377,274,2181
7,Avondale,6,NEIGHBORHOODS,6,US,7,BlockApportionment:US.BlockGroups,2.191,2.576,1,14,87,203,103,351,135,170,133,1196
8,Balboa Heights,3,NEIGHBORHOODS,7,US,8,BlockApportionment:US.BlockGroups,2.191,2.576,1,153,244,63,83,200,29,190,8,970
9,Barrio Anita,1,NEIGHBORHOODS,8,US,9,BlockApportionment:US.BlockGroups,2.191,2.576,1,9,17,26,14,70,19,44,50,249
10,Barrio Blue Moon,3,NEIGHBORHOODS,9,US,10,BlockApportionment:US.BlockGroups,2.191,2.576,1,47,95,102,30,213,56,79,30,652
11,Barrio Centro,5,NEIGHBORHOODS,10,US,11,BlockApportionment:US.BlockGroups,2.191,2.576,1,23,69,188,70,167,25,142,28,712
12,Barrio Hollywood,1,NEIGHBORHOODS,11,US,12,BlockApportionment:US.BlockGroups,2.191,2.576,1,205,296,334,116,352,140,177,71,1691
13,Barrio San Antonio,5,NEIGHBORHOODS,12,US,13,BlockApportionment:US.BlockGroups,2.191,2.576,1,12,6,20,10,41,21,60,108,278
14,Barrio Santa Rosa,5,NEIGHBORHOODS,13,US,14,BlockApportionment:US.BlockGroups,2.191,2.576,1,60,77,140,40,100,44,119,76,656
15,Barrio Viejo,6,NEIGHBORHOODS,14,US,15,BlockApportionment:US.BlockGroups,2.191,2.576,1,20,37,60,32,139,40,167,149,644
16,Bear Canyon,2,NEIGHBORHOODS,15,US,16,BlockApportionment:US.BlockGroups,2.191,2.576,1,10,35,188,57,453,131,532,470,1876
17,Blenman-Elm,6,NEIGHBORHOODS,16,US,17,BlockApportionment:US.BlockGroups,2.191,2.576,1,38,57,155,23,415,129,542,881,2240
18,Broadmoor-Broadway,6,NEIGHBORHOODS,17,US,18,BlockApportionment:US.BlockGroups,2.191,2.576,1,3,21,53,23,125,37,217,186,665
19,Broadway/Northeast,2,NEIGHBORHOODS,18,US,19,BlockApportionment:US.BlockGroups,2.191,2.576,1,57,0,102,4,108,52,132,81,536
20,Campbell-Grant,3,NEIGHBORHOODS,19,US,20,BlockApportionment:US.BlockGroups,2.191,2.576,1,9,22,91,12,212,56,262,243,907
21,Campus Farm,3,NEIGHBORHOODS,20,US,21,BlockApportionment:US.BlockGroups,2.191,2.576,1,175,260,804,210,988,374,949,543,4303
22,Catalina Vista,6,NEIGHBORHOODS,21,US,22,BlockApportionment:US.BlockGroups,2.191,2.576,1,2,29,47,15,73,15,147,206,534
23,Catalina Vista/Blenman-Elm,6,NEIGHBORHOODS,22,US,23,BlockApportionment:US.BlockGroups,2.191,2.576,1,0,6,13,0,10,1,19,20,69
24,Houghton South,4,NEIGHBORHOODS,23,US,24,BlockApportionment:US.BlockGroups,2.191,2.576,1,18,34,347,46,652,415,834,592,2938
25,Colonia Del Valle,6,NEIGHBORHOODS,24,US,25,BlockApportionment:US.BlockGroups,2.191,2.576,1,40,85,379,76,559,190,274,285,1888
