OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,TOTPOP_CY,HHPOP_CY,FAMPOP_CY,POPDENS_CY,POPGRW10CY,TOTPOP,TOTHH,AVGHHSZ,TSPOP10_CY,TSPOP11_CY,TSPOP12_CY,TSPOP13_CY,TSPOP14_CY,TSPOP15_CY,TSPOP16_CY,TSPOP17_CY,TSPOP18_CY
1,A Mountain,1,NEIGHBORHOODS,0,US,1,BlockApportionment:US.BlockGroups,2.191,2.576,1,3448,3440,2843,3900,0.34,3448,1103,3.12,3341,3340,3364,3360,3359,3337,3371,3408,3446
2,Adelanto,3,NEIGHBORHOODS,1,US,2,BlockApportionment:US.BlockGroups,2.191,2.576,1,389,369,316,8881.3,0.46,389,117,3.15,372,368,367,359,356,355,367,381,390
3,Alvernon Heights,5,NEIGHBORHOODS,2,US,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,320,320,272,4071.2,0.56,320,99,3.23,304,301,300,299,309,316,323,318,318
4,Amphi,3,NEIGHBORHOODS,3,US,4,BlockApportionment:US.BlockGroups,2.191,2.576,1,7464,7251,4864,7482.7,0,7464,3105,2.34,7432,7440,7401,7408,7290,7280,7252,7331,7394
5,Armory Park,6,NEIGHBORHOODS,4,US,5,BlockApportionment:US.BlockGroups,2.191,2.576,1,1924,1867,754,6204.5,0.64,1924,1223,1.53,1821,1851,1876,1867,1858,1860,1889,1915,1924
6,Arroyo Chico,5,NEIGHBORHOODS,5,US,6,BlockApportionment:US.BlockGroups,2.191,2.576,1,3009,2948,2008,3973.9,0.34,3009,1244,2.37,2934,2951,2972,2961,2985,3001,3021,3026,3014
7,Avondale,6,NEIGHBORHOODS,6,US,7,BlockApportionment:US.BlockGroups,2.191,2.576,1,1636,1604,914,6510.1,0.78,1636,818,1.96,1514,1509,1523,1537,1542,1541,1577,1603,1634
8,Balboa Heights,3,NEIGHBORHOODS,7,US,8,BlockApportionment:US.BlockGroups,2.191,2.576,1,1546,1546,968,8574.6,1.37,1546,728,2.12,1389,1475,1531,1533,1482,1449,1436,1474,1504
9,Barrio Anita,1,NEIGHBORHOODS,8,US,9,BlockApportionment:US.BlockGroups,2.191,2.576,1,372,368,249,3031.8,-0.48,372,125,2.94,392,391,399,402,410,403,404,403,393
10,Barrio Blue Moon,3,NEIGHBORHOODS,9,US,10,BlockApportionment:US.BlockGroups,2.191,2.576,1,956,954,443,7445.5,-0.53,956,658,1.45,1008,1031,1038,1016,984,946,942,944,957
11,Barrio Centro,5,NEIGHBORHOODS,10,US,11,BlockApportionment:US.BlockGroups,2.191,2.576,1,1116,1008,811,4888.3,0.35,1116,402,2.51,1079,1080,1086,1087,1091,1099,1105,1111,1112
12,Barrio Hollywood,1,NEIGHBORHOODS,11,US,12,BlockApportionment:US.BlockGroups,2.191,2.576,1,2611,2603,2172,5391.3,-1.13,2611,859,3.03,2902,2887,2849,2790,2752,2743,2646,2580,2528
13,Barrio San Antonio,5,NEIGHBORHOODS,12,US,13,BlockApportionment:US.BlockGroups,2.191,2.576,1,345,323,164,1907.1,0.38,345,143,2.26,331,328,333,336,348,355,363,357,352
14,Barrio Santa Rosa,5,NEIGHBORHOODS,13,US,14,BlockApportionment:US.BlockGroups,2.191,2.576,1,1156,1147,874,4969.9,1.12,1156,380,3.02,1053,1079,1089,1084,1082,1084,1098,1107,1127
15,Barrio Viejo,6,NEIGHBORHOODS,14,US,15,BlockApportionment:US.BlockGroups,2.191,2.576,1,822,813,405,4172.6,0.67,822,456,1.78,778,796,812,804,794,781,790,805,818
16,Bear Canyon,2,NEIGHBORHOODS,15,US,16,BlockApportionment:US.BlockGroups,2.191,2.576,1,2551,2549,2111,1598.7,0,2551,1137,2.24,2547,2552,2556,2532,2506,2475,2466,2478,2504
17,Blenman-Elm,6,NEIGHBORHOODS,16,US,17,BlockApportionment:US.BlockGroups,2.191,2.576,1,3233,3103,1666,4456.2,0.37,3233,1588,1.95,3118,3116,3122,3151,3176,3229,3262,3278,3268
18,Broadmoor-Broadway,6,NEIGHBORHOODS,17,US,18,BlockApportionment:US.BlockGroups,2.191,2.576,1,875,869,577,3479.1,0.37,875,394,2.21,850,857,861,858,859,862,869,871,874
19,Broadway/Northeast,2,NEIGHBORHOODS,18,US,19,BlockApportionment:US.BlockGroups,2.191,2.576,1,692,682,517,1315.3,0.24,692,276,2.47,679,687,692,690,685,688,684,683,679
20,Campbell-Grant,3,NEIGHBORHOODS,19,US,20,BlockApportionment:US.BlockGroups,2.191,2.576,1,1293,1293,680,5128.9,0.37,1293,674,1.92,1251,1264,1272,1272,1268,1270,1285,1298,1299
21,Campus Farm,3,NEIGHBORHOODS,20,US,21,BlockApportionment:US.BlockGroups,2.191,2.576,1,7696,7686,4093,6896.7,1.12,7696,3319,2.32,6923,6981,7168,7311,7360,7340,7392,7508,7599
